"escola","tipo","uf","medalha_count"
"OBJETIVO CENTRO INTERESCOLAR UNIDADE PAULISTA","P","SP","5"
"INST. EST. RUI BARBOSA","E","RS","5"
"INTEGRACAO E.M","M","SP","5"
"INST.FED. DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - CAMPUS SÃO JOÃO DA BOA VISTA","F","SP","5"
"ESC INSTITUTO SANTA JULIANA","E","AC","5"
"ARQUIDIOCESANO DE SAO PAULO COLEGIO MARISTA","P","SP","5"
"COLEGIO SANTO AGOSTINHO","P","MG","5"
"IFRN - CAMPUS AVANCADO PARELHAS","F","RN","5"
"7 DE SETEMBRO COLEGIO - EBS","P","CE","5"
"ATHAYR DA SILVA ROSA PROF. EMEF","M","SP","5"
"EEM DONA MARIETA CALS","E","CE","4"
"EE JOSEFINA VIEIRA","E","MG","4"
"ESC EST EUCLIDES DA CUNHA","E","RR","4"
"IFSUL - CAMPUS SANTANA DO LIVRAMENTO","F","RS","4"
"ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO DIVINA PROVIDÊNCIA","E","AC","4"
"JUVENAL GIRALDELLI","E","SP","4"
"IFCE - CAMPUS ITAPIPOCA","F","CE","4"
"EEB PROFº JOSE RODRIGUES LOPES","E","SC","4"
"ESC EST JOSE DE ANCHIETA","E","AP","4"
"JOSE DE CAMPOS PROF","E","SP","4"
"COLÉGIO ESTADUAL NERCY ANTONIO DUARTE","E","BA","4"
"E.M.E.F. EÇA DE QUEIRÓS","M","MT","4"
"ESCOLA PAROQUIAL SANTA HELENA","C","GO","4"
"EE QUINTO ALVES TOLENTINO","E","MG","4"
"ESCOLA ESTADUAL JOSE INACIO DE FARIAS","E","SE","4"
"EE CEL CAMILO SOARES","E","MG","4"
"IFSP - CAMPUS ITAPETININA","F","SP","4"
"EEB MADRE BENVENUTA","E","SC","4"
"EE JOAQUIM NABUCO","E","MG","4"
"EE PROF CICERO TORRES GALINDO","E","MG","4"
"ETAPA III COLEGIO","P","SP","4"
"CEF 404 DE SAMAMBAIA","E","DF","4"
"ESC EST INTEGRAL PROFº SEVERINO G G CAVALCANTE","E","RR","4"
"EE PROFA ANA LETRO STAACKS","E","MG","4"
"ESC MUN JARDIM IATE CLUBE","M","SC","4"
"ESC MUN ENS FUN SAO FRANCISCO","M","RS","4"
"FLAVIO GOMES GRANGEIRO, EEFM","E","CE","4"
"EMEF MUN QUINTINO RIZZIERI","M","SC","4"
"CHRISTUS COLEGIO PRE UNIVERSITARIO","P","CE","4"
"CEFET-MG - Uned Contagem","F","MG","4"
"GASPAR DUTRA, COL EST MAL - ENS FUND ENS MÉDIO","E","PR","4"
"ESC MUN ENS FUN CALDAS JUNIOR","M","RS","4"
"EEEFM IRMA TEREZA ALTOE","E","ES","4"
"COLEGIO DE APLICACAO UFRGS","F","RS","4"
"EEEFM P AFONSO BRAZ","E","ES","4"
"ESC MUN ENS FUN PE FRANCISCO RIEGER","M","RS","4"
"ESC MUN VER CURT ALVINO MONICH","M","SC","4"
"ESCOLA ESTADUAL AUREA PINHEIRO BRAGA","E","AM","4"
"EE VITALINO DE OLIVEIRA RUELA","E","MG","4"
"IFMG - CAMPUS GOVERNADOR VALADARES","F","MG","4"
"SAMUEL DE CASTRO NEVES DR","E","SP","4"
"NORMA DE CONTI SIMAO EMEF","M","SP","4"
"INST MUN DE EDUC TEC DE TIMOTEO","M","MG","4"
"EM CEL JOAO DOMINGOS","M","MG","4"
"COLEGIO EVANGELICO ALBERTO TORRES","P","RS","4"
"EM PARQUE VITORIA","M","MA","4"
"ESC.EST.NOSSA SENHORA DO CARMO","E","AM","4"
"EEEFM PROF ANA PORTELA DE SA","E","ES","4"
"ESC MUN DR ABDON BAPTISTA","M","SC","4"
"ESCOLA MUNICIPAL VEREADOR ARINOR VOGELSANGER","M","SC","4"
"COL EST COLINA AZUL","E","GO","4"
"ANTONIO AMATO MAESTRO EM","M","SP","4"
"FARIAS BRITO COLEGIO CENTRAL","P","CE","4"
"JUAREZ TAVORA, EEFM MARECHAL","E","CE","4"
"VILLA LOBOS COLEGIO","P","SP","4"
"COLEGIO EQUIPE","P","PE","4"
"EEEP ALAN PINHO TABOSA","E","CE","4"
"ROSA FRANCISCA MANO","E","SP","4"
"COLEGIO ESPANHOL SANTA MARIA CIDADE NOVA","P","MG","4"
"MATER AMABILIS COLEGIO","P","SP","4"
"COLEGIO TIRADENTES IJUI","E","RS","4"
"COLEGIO MUL ALCIDES CORDEIRO","M","BA","4"
"COLEGIO TIRADENTES DA BRIGADA MILITAR - PASSO FUNDO","E","RS","4"
"EEB FELICIANO NUNES PIRES","E","SC","4"
"INSTITUTO FEDERAL DE PERNAMBUCO","F","PE","4"
"EE MESTRA AURORA","E","MG","4"
"ESC EST DE ENS MÉDIO PROF JOAO GERMANO IMLAU","E","RS","4"
"AYRES DE SOUZA, EEM","E","CE","4"
"PRESIDENTE VARGAS ETE","E","SP","4"
"EB ALMIRANTE BARROSO","M","SC","4"
"COL.TEC INDUSTRIAL PROF.ISAAC PORTAL ROLDAN - UNES","E","SP","4"
"EEEFM PROFA ANA MARIA CARLETTI QUIUQUI","E","ES","4"
"JOSE NEGRI PROF EMEF","M","SP","4"
"EB DR AMADEU DA LUZ","M","SC","4"
